Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Total_Score_Original,Week_of_Semester,Learning_Efficiency (%)
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,49.45,73.69,43.010000000000005,73.4,62.84,49.7265,F,10.3,Yes,No,Master's,Medium,1,5.9,54.8065,10,76.27621522380082
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,48.16,74.23,72.39,88.0,98.23,20.0,B,27.1,No,No,High School,Low,4,4.3,28.0385,10,78.34811968329511
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,57.53,85.85,43.68000000000001,4.699999999999999,91.22,61.397000000000006,D,12.4,Yes,No,High School,Low,9,6.1,64.557,16,85.51727080326513
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,26.22,45.65,22.599999999999994,68.1,44.42999999999999,4.2,55.48,20.0,F,25.5,No,Yes,High School,Low,8,4.9,20.0,12,84.57466694940851
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,53.050000000000004,67.66,75.26,64.3,87.43,20.0,C,13.3,Yes,No,Master's,Medium,6,4.5,31.341500000000003,2,78.74013406420755
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,44.64,87.85,32.419999999999995,54.8,67.65,48.25,D,25.3,Yes,No,,Medium,6,5.6,58.17,9,73.98030934601115
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,75.17999999999999,89.0,35.61,15.5,87.51,20.0,B,22.1,Yes,No,Bachelor's,High,2,4.0,32.14875,3,84.9985740163272
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,66.55,91.72,54.83,50.72,49.19,54.8,90.04,66.72850000000003,C,16.7,Yes,Yes,,Low,5,7.8,69.04850000000002,15,75.50915308423943
S1008,Omar,Smith,student8@university.com,Female,21,CS,51.24,76.97,52.50999999999999,57.19,68.83999999999999,97.4,57.57,20.0,D,18.1,No,Yes,PhD,High,9,4.8,27.81025,3,81.30411583838766
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,77.77000000000001,60.65,85.60000000000001,63.1,83.09,73.55550000000002,B,9.4,Yes,No,,High,8,7.1,78.15550000000002,19,57.420764154377395
